name,email,gender,status
Jane Doering,janedoering@gmail.com,female,active
HOMER,homer@hotmail.com,male,inactive
,emptyname@yahoo.com,female,inactive
78546,numbers@outlook.com,male,active
&$%+@,symbolsname@gmail.com,female,inactive
Bart Simpson ,785465,female,inactive
Mr. Burns,,male,active
Ned Flanders,flander@.ar,male,inactive
Bart,%/(#@,female,active
Emilio Ross,emilioross@protonmail.com,,inactive
Johan Phillips,johanph@yahoo.com,458965,inactive
Emma Wolff,emmawolff@outlook.com.ar,agender,inactive
Antonio Marchetti,antonia@yahoo.com,%/(#@,inactive
Asia Mancini,asiamanci@protonmail.com,female,
Giorgia Esposito,gioes@gmail.com.ar,female,78965
Irene Palmieri,irenepalm@yahoo.com,female,completed
Elianna Davidson,elidavidson@hotmail.com,female,%/(#@
